"Public   Fund   Accounts   of   Air   Force   are generally maintained on basis?","Unit","Station","No. of personnel dependent on Account","No. of units in station","Station"
"All    Grants    and    payments    of    pensions should  be  recorded  in   by  PCDA  (P) Allahabad?","P.P.O. Register","Audit cards","Register of Pension","None","Audit cards"
"All the Defence Parcels received on account of    imported    stores    are    cleared    and distributed to the consignees by ?","Port Trust Authority of India","Embarkation Commandant","AO (Embarkation H.Qrs) Mumbai","All the three","Embarkation Commandant"
"Whose  permission  is  required  to  increase the quantum of audit by DAD officers?","CGDA","DGADS","MOD","PCDA/CDA","PCDA/CDA"
"Appropriation       audit       conducted       by PCDA/CDA covers expenditure under which of the following heads?","Locally Controlled heads","Centrally Controlled heads","Both","None","Locally Controlled heads"
"In   the   case   of   recovery   of   LF   &   Allied charges bills recovered from Pay Bill, audit is conducted from to ?","Pay Bill to LF Bill","LF Bill to Pay Bill","Both","Depends upon the case","LF Bill to Pay Bill"
"Losses to which no precise monetary value can   be   assigned   should   be   shown   in Appropriation Accounts","Correct","Incorrect","Decided by PCDA/CDA","Decided by GOC in C","Decided by PCDA/CDA"
"Financial Advice rendered by Controllers is of two types. What are the two?","Originating, Responding","Major, Minor","Original, Responding","Short term, Long term","Original, Responding"
"Appropriation  audit  is  conducted  in  two stages. They are , ?","Effective, Economy Audit","Propriety, Regularity audit","Central, Local audit","Sanction, Expenditure Audit","Sanction, Expenditure Audit"
"Audit  conducted  to  verify  whether  posted strength  is  within  the  limits  of  Authorized strength is known as","Performance Audit","Strength Audit","Man Power Audit","Scale Audit","Scale Audit"
"To claim for an overcharge by Railways, six months  period  is  computed  for  DAD  from the date","Date shown on the original bill","Date of dispatch by Railways","Date of receipt of original bill","All the three","Date of receipt of original bill"
"Losses arising in connection with purchases through   purchasing   organizations,   where fault is entirely with them are not shown in App.A/cs","Completely true","Completely false","Decided by PCDA","Decided by CFA","Completely false"
"Payments         made         in         exceptional circumstances in the absence of Sanction of Competent  Financial  Authority  are  known as","Advance Payments","Emergency Payments","Special payments","Provisional payments","Provisional payments"
"How  many  copies  of  packing  accounts  are sent  by  ISM  London  to  Landing  Officer  in respect of Imported Stores?",4,3,2,1,2
"Invoice  in  respect  of  Imported  Stores  is sent by ISM, London to ?","CDA","LAO","Consignee","Landing Officer","CDA"
"Which  of  the  following  payments  are  not supposed to be paid out of S&S Imprest by the Imprest Holder?","CHT Bills","Suppliers Bills","Pay and Allowances","All the three","Pay and Allowances"
"Audit   Card   is   related   to   which   of   the following subject?","Pay and Allowances","Pension","Stores","Works","Pension"
"Expand CRV?","Credit Receipt Voucher","Certified Receipt Voucher","Current Receipt Voucher","Correct Receipt Voucher","Certified Receipt Voucher"
"Which  of   the  following  is  a  function  of audit?","Scrutiny of Disciplinary action","Prescribing Rules and orders","Both","None","Scrutiny of Disciplinary action"
"Who  among  the  following  is  supposed  to endorse on the Draft Paras file prepared by DGADS, concurred by DAD and referred to him?","Defence Secretary","FADS","CGDA","PCDA/CDA","CGDA"
"Which of the following Registers, AAO BSO is required to maintain?","Revenue Ledger","Register of Rentable Buildings","None","Both","Both"
" is  responsible  for  ensuring  that  the Field   Cashier   carries   out   his   duties   in accordance with the regulations?","Formation Commander","GOC in C","PCDA (O)","All the three","Formation Commander"
"Returnable copy  of  the  packing account in the case of stores dispatched by sea or civil air   will   be   dispatched   to   the   ultimate consignee by the Landing Officer within  days   from   the   date   of   dispatch   of   the consignment?",7,10,15,21,15
"Losses     on     account    of     stores     short- landed/damaged   which  are   irrecoverable from   the   carriers,  will   be   dealt  with  at consignees&#39; end as?","Store loss","Cash loss","As decided by Executive","As decided by CDA","Cash loss"
"Expand A.O.G.","Aircraft On Ground","Army on Ground","Army Ordnance General","Air Officer i/c Ground","Aircraft On Ground"
"Expand P.O.R. in the context of IRLAs of Air Force Personnel?","Private Occurrence Reports","Personnel Occurrence Reports","Public Occurrence Reports","Pay Occurrence Reports","Personnel Occurrence Reports"
"The  audit  of  Air  Force  list  is  conducted  in the office of the ","PCDA (AF)
Dehradun","MOD (Fin)","AO DAD HQrs.","CDA (AF) New
Delhi","CDA (AF) New
Delhi"
"Accounts of Hindustan Aeronautics Ltd are subject to audit, like those of other limited concerns, by ?","Quarterly audit boards","Audit Committees","a firm of professional auditors","None","a firm of professional auditors"
"Ships  which  are  not  self  accounting  draw their funds requirements from the","Base Supply Officers","PCDA (Navy)","Nearest Regional CDA","FOC in C","Base Supply Officers"
"In  the  case  of  Navy  Ships  visiting  foreign ports,   the   necessary   supply   of   foreign currency  is  arranged  by   through  the MOF?","PCDA Navy, Mumbai","PCDA New Delhi","Naval H.Qrs.","Embarkation Commandant","Naval H.Qrs."
"Commanding  Officers  of  Ships  render  to the  PCDA  (Navy)  Mumbai,  Cash  account
?","Daily","Weekly","Fortnightly","Monthly","Monthly"
"Which  of  the   following  is  the  object  of Appropriation      Accounts      of      Defence Services?","To certify that expenditure is authorized","To certify that expenditure is covered by Sanction","To certify expenditure is within allotment","To Present audited accounts of expenditure from appropriations of the year","To Present audited accounts of expenditure from appropriations of the year"
"Items  in  the  MFAI/IAR  reports  which  are subsequently  included  in  the  CGDA&#39;s certificate     appended     to     the     printed Appropriation   Accounts,   will     taken out  of  the  MFAI  report,  but  pursued  till finality?","not be","be formally","a or b as decided by CDA","a or b as decided by Executive","be formally"
"If       circumstances       under       which       a concession/allowance        granted        have changed,                     proposal                     for modification/withdrawal should be sent by Controllers to ?","CGDA","GOC in C","Sanctioning authority","DADS","CGDA"
"In a CDA office comparison of expenditure of cash and certain important kind of stores selected in unit to render financial advice is done by comparing the expenditure of","The same unit between different quarters","Similar units during the same period","Both are correct","None of the two is correct","Both are correct"
"Which     of     the     following     Provisional payments is not in order","CDA, Bangalore made a provisional payment when necessity for expenditure is there but sanction is awaited","PCDA, SC admitted a provisional payment in anticipation of funds","CDA, Chennai made a provisional payment based on the undertaking by an individual transferred to his office stating that he will refund the amount if required","CDA,
Secunderabad made a provisional payment when documents in support of expenditure are not available","CDA, Chennai made a provisional payment based on the undertaking by an individual transferred to his office stating that he will refund the amount if required"
"When  an  objection  raised  by  a  CDA  could not be settled by him, CGDA may","Ask CDA to withdraw the same","Ask the administrative authority to obtain requisite sanction","both","none","both"
"Defence   Account   Code   has   its   origin   in
?","Civil Account Code","Civil Accounts Manual","Central Treasury Rules","All the three","Civil Account Code"
"Forms  in  which  the  accounts  should  be kept    in    the    offices    of    the    DAD    are prescribed by the ?","PCsDA/CsDA","CGDA","Both","None","CGDA"
"Sector   in   Defence   Accounting   System   is represented by ?","One Alphabet","Two Numerical","Four Numerical","Seven Numerical","One Alphabet"
"Cash balances held in the treasuries of the Central   Government   form   part   of   the
?","Consolidated Fund of India","Contingency Fund of India","Public Account of India","All the three","All the three"
"The  first  edition  of  Defence  Account  Code was released in ?",1947,1952,1956,1967,1952
"A  service  receipt  for  which  full  particulars are  not  given  must  be  taken  to  the  head
?","Suspense head","Other Receipts","Deposits","Any of the three","Other Receipts"
"Appropriation   Accounts   of   the   Defence (Civil)  and  Defence  Pensions  are  prepared by office and signed by ?","CGDA, FADS","FADS, Defence Secretary","CGDA, Defence Secretary","CGDA, CGDA","CGDA, CGDA"
"If  the  first  digit  of  a  major  head  is  7,  it represents ?","Revenue head","Capital head","Contingency fund of India head","Loan head","Loan head"
"Under     which     article     of     constitution Consolidated    Fund    of    India    has    been prescribed or referred?",112,343,266,148,266
"From   onwards,  the  responsibility  for compiling the accounts of Defence Services has been entrusted to CGDA",01.01.1976,01.04.1976,01.10.1976,"None",01/10/76
"Recoveries    of    over-payments    shall    be credited as irrespective of the year in which such recoveries are effected?","Revenue Receipts","Reduction in Expenditure","Capital Receipts","None","Reduction in Expenditure"
"The  heads  of  classification  operated  upon in the Defence Services accounts are shown in which of the following?","Classification Hand Book of Defence Services- Receipts and Charges","Pamphlet of Revenue, Debt and Remittance Heads","Both","None","Both"
"Under     which     article     of     constitution Contingency    fund    of    India    has    been prescribed or referred?",112,148,266,267,267
"In   the   Defence   Services,   the   pay   and allowances    of    Service    Officers,    PBORs, Civilians  are  accounted  for  under  separate
?","Major heads","Minor heads","sub major heads","Sub heads","Sub heads"
"Which of the following Departments is not covered under MOD (Civil Estimates)?","DAD","Department of Defence Production","Military Engineer Service","Armed Forces Tribunal","Military Engineer Service"
"The  transit  Pay  and  Allowances  of  Officers of    the    Defence    Services    lent    to    Civil Department or, vice versa, are debitable to
?","Dept. to which he is proceeding","Lending Department","Borrowing Department","Defence Service Estimates","Borrowing Department"
"Travelling  Allowance  of  Military  students under    training    with    survey    parties    is debitable to the ?","Defence Services Estimates","Civil Department","Both a, b 50-50 ratio","Both a, b 75-25 ratio","Civil Department"
"Transfer  entries  are  operated  for  which  of the following adjustments?","To correct error of classification","To revise provisional classification","Both","None","Both"
"Head of accounts under which transactions closing  to  balances  are  recorded,  carried forward  to  the  next  financial  year  which includes  heads  of  Debts,  Loans,  Advances, Provident  Funds,  Reserve  Funds,  Deposits and Advances and Suspense, Miscellaneous are called?","Debt Heads","Minor Heads","Sub Heads","Major Heads","Debt Heads"
"No   sum   shall   ordinarily   be   credited   to Government  by  debit  to  a  ;  Credit must    follow    and    not    precede    actual realization?","Service Head","Suspense Head","Both","None","Suspense Head"
"Pr.     Controllers/Controllers     should     not address     direct   except   on   routine matters?","CGA","C&AG","None","Both","Both"
"Government   Accounts   are   kept   in    parts?",5,4,3,2,3
"Taxes both on Residential/Non-Residential, buildings  owned/occupied  by  the  Defence Department shall be debited to ?","Defence Services Estimates","Civil Services Estimates","Both","None","Defence Services Estimates"
"The  power  of  Addl.  CDA  to  sign  Class  II Punching    medium    for    rectification    of incorrect adjustment is up to Rs. ?","25 lakhs","1 crore","5 crores","10 crores","5 crores"
"Who    allots    Defence    Accounting    Circle Numbers to PCsDA/CsDA offices?","CGA","RBI, CAS","CGDA","C&AG","RBI, CAS"
"After   closing   of   annual   accounts,   if   a rectification/readjustment     is     necessary, same will be carried out with prior approval of ?","CGA","C&AG","Both a & b","MOD","CGA"
"The balances of the Defence Services have been created Proforma in the books of the Reserve Bank of India w.e.f. ?",01.10.1976,01.04.1934,26.01.1956,01.04.1962,01/04/62
"Which of the following private banks is not authorized         to         do         Government Transactions?","HDFC Bank","Axis Bank","None","Both","None"
"Prefix 77 is used for transactions?","Previous years","Charged Expenditure","DIDS","Pre partition","Previous years"
"GAD    with    reference    to    SBI    Mumbai represents ?","Government Accounts Department","Government Accounts Division","Government Accounts Directives","Government Accounting Design","Government Accounts Department"
"Under  which  article  of  constitution  Public Account  of  India  has  been  prescribed  or referred?",112,148,266,267,266
"Expand TAT in the context of SBI CMP (Cash Management Product)?","Turn Around Time","Turn Account Time","Transaction Accounting Time","Transaction Analysis Time","Turn Around Time"
"Part II of Government Accounts represents
?","Public Fund Account of India","Public Account of India","Consolidated Fund of India","None","None"
"Major  Head  is  represented  by     digit number?",4,3,2,7,4
"Who  is  responsible  for  preparation  of  the portion   of   the   Combined   Finance   and Revenue  Accounts  pertaining  to  Defence Services?","DGADS","CGDA","C&AG","All the three","CGDA"
"Majority of Government Accounts are kept under basis?","Accrual","Cash","Mercantile and Cash","None","Cash"
"Transfer of funds from one primary unit of appropriation   to    another    such    unit   is defined as ?","Assignment","Cash Assignment","Fund Transfer","Reappropriatio n","Reappropriatio n"
"Prefix 99 is used for which of the following payments?","DIDS","Previous years transactions","Contingency fund of India","Charged expenditure","Charged expenditure"
"Loans  and  Advances  are  represented  by Sector ?","A","B","K","F","F"
"Homogeneous        schemes        under        a programme especially those involving small outlays,  should  be  grouped  into  suitable
?","Sub Heads","Major Heads","Minor Heads","Detailed Heads","Sub Heads"
"Which of the following represents function of Government?","Sector","Major head","Minor head","Detailed head","Major head"
"Except    in    some    specific    cases,    where Defence Services Officers are allowed cash assignments  on  treasuries  or  the  Bank  all payments are made by cheques, etc. drawn by officers of ?","DAD","DDOs","MES","All the three","DAD"
"Heads    of    account    under    which    are recorded all proceeds of taxation and other receipts    classed    as    revenue    and    the expenditure  met  there  from  are  known  as
?","Receipt heads","Expenditure heads","Debt heads","Revenue heads","Revenue heads"
"Which of the following is not a part of 6 tier classification of Government Accounts?","Sub Major head","Sub head","Sub Minor head","None","Sub Minor head"
"The Accounts of Government kept in India are maintained in Currency?","International","Indian","Decided from time to time","Foreign","Indian"
"CGDA has been delegated powers to open
below the Minor Heads","Sub heads","detailed heads","Both","None","Both"
"Expenditure  on  Engineer  Services  required for    the    Army    is    charged    as    Military Engineer  Services  Expenditure  under  
Head?","MES","Army","Sub","Detailed","Army"
"Expenditure on vehicles irrespective of cost and life shall be treated as ?","Revenue","Capital","Both 50%","Decided in each case","Capital"
"of the Govt. of India is to ensure that suitable  accounts  are  maintained  by  the Defence Services?","MOD (Finance)","MOD","Ministry of Finance","Defence Minister","MOD (Finance)"
"CGA  maintains  a  Journal  and  Ledger  for central  transactions  which  is  posted  from the  financial  accounts  of   received  from all Accounts Offices in India","each day","each week","each month","each year","each year"
"DAD classifies expenditure of which of  the following departments?","Coast Guard Organization","Jammu and Kashmir Light Infantry","Defence Estates Organization","All the three","All the three"
"Expand DMS","Defence Management System","Date wise Monthly Statement","Defence Monetary settlement","Daily Main Scrolls","Date wise Monthly Statement"
"Cheques unlinked for more than days will be taken up with Focal Point Branch by Accounts   Section   of   CDA   for   payment confirmation",90,120,180,365,90
"If the net amount under the head “Ministry of  Home  Affairs”  is  a  credit  (i.e.  credit  is more  than  debit),  the  same  is  settled  by
?","Requesting the MHA to forward a cheque","Issuing a cheque to MHA","RBI CAS Nagpur by transfer of funds","None","Issuing a cheque to MHA"
"The amount of e-ticketing will be advanced to the IRCTC’s account and initially booked to ?","00/016/02","00/016/03","00/018/60","00/018/65","00/018/60"
"Expenditure   on   procurements   of   items which have a life of years or more is debitable to Capital Budget",5,7,10,25,7
"Which  of  the  following  documents  is  not received along with Debit Scrolls from Focal Point Branches of Banks?","Paid Cheque","Paid Emergency Cash Requisition","Both","None","None"
"In  case  of  erroneous  advise  by  RBI, where supporting  vouchers  are  not  forthcoming, item   can  be   reversed  after   a  period  of
?","3 months","6 months","9 months","one year","6 months"
"Which  of  the  following  transactions  is  not passed    on    through    Defence    Exchange Account?","Outstanding Advances of employees","Imprest payment to Navy personnel from Army","Service rendered by Army to AF","None","Service rendered by Army to AF"
"Compilation     for     each     section     of     a Controller&#39;s     Office     generated     to exhibit  amount compiled under each code head during month is ?","Consolidated Compilation","Book compilation of RDR heads","detailed voucher compilation","Sectional Compilation","Sectional Compilation"
"Settlement   of   transactions   between   the State  Government  of  Jammu  and  Kashmir and other States/ Centre is effected ?","In cash (cheque) or by demand drafts","through Settlement Accounts under RBI","Both","None","In cash (cheque) or by demand drafts"
".   If   an   item   of   DIDS   appears   in    consecutive  outstanding  lists,  it  should  be put up to PCDA/Addl. CDA for monitoring?",2,3,4,5,2
"Analysis   of   All    India   Defence   Services Receipts     and     Charges     generated     in compilation system deals with which of the code heads?","RDR heads","Heads that appear in CHB","Both","None","Heads that appear in CHB"
"Class   V   punching   medium   is   used   for compiling transactions?","Cash Vouchers","Railway Bills","Cash Accounts","MES Bills","Cash Accounts"
"IAF CDA – 336 is sued for ?","Punching Medium","Schedule III","Cash Book","Register of spoilt cheques","Punching Medium"
"Which  class  of  PM  voucher  is  operated  to adjust MRO?",1,2,8,9,2
"Defence ledger is not maintained for which of the following heads?","Revenue","Debt","Suspense","None","None"
"Which   of   the   following   controllers   are involved  in  the  process  of  preparation  of Estimates for Defence Pension?","PCDA (P)
Allahabad","CDA (PD) Meerut","CDA, Chennai","All the three","PCDA (P)
Allahabad"
"Who  among  the  following  is  not  a  user  of All   India   Defence   Services   Receipts   and Charges generated in compilation system?","DFAs (Budget) in Departments of MOD","Armed Forces H.Qrs.","Budget Section of CGDA","Regional PCsDA","Regional PCsDA"
"Which  of   the   following   is   not   compiled through  Class  9  P.M.  though  pertaining  to MES?","Pay and Allowances","Travelling expenses","GPF Final withdrawals","Construction of Building","Construction of Building"
"Vote  on  Account  Budget  covers  1/6  th  of
?","Previous year’s allotments","Previous year’s expenditure","Estimated gross expenditure included in Demands for Grants","None","Estimated gross expenditure included in Demands for Grants"
"Booking  of  %  of  the  budget  allocation by the end of December shows exercise of desired control over expenditure by CFAs?",75,76,67,50,67
"Which of the following is not a stage out of 3 stages of Budgetary Control?","Initial distribution of Grants","Watching Expenditure against Allotments","Re appropriation","None","None"
"Which of the following does not fall under “Deposits”","Security Deposits","Field Deposits","Earnest Money Deposits","None","Earnest Money Deposits"
"Earnest  Money  Deposits  are  paid  by  the tenderers    into       account    of    the accepting officer?","Public Fund","Cash Assignment","Imprest","All the three","Public Fund"
"Provident   Fund   accumulations   remaining unclaimed  for   will  be  transferred  to unclaimed provident funds head?","six months","12 months","2 years","3 years","six months"
"Which form is used for Class 8 voucher (for responding DIDS) in DAD?","IAF CDA 336","IAF CDA 338 - A","IAF CDA 336 -A","IAF CDA 338","IAF CDA 338 - A"
"The  responsibility  of  watching  recovery  of advances (under DHRs) is the responsibility of ?","Accounts Section","Audit Section","Both are equally responsible","None","Both are equally responsible"
"The only Head for Contingency Fund in Part II  i.e.  Contingency  Fund  is  given  the  code number ?",4000,2000,8000,1900,8000
"   %    of    expenditure    (max.    limit)    is supposed to be expended in the month  of March,   as   per   guidelines   on   Control   of Defence Expenditure?",10,12,15,20,15
"Where recovery is on basis of calendar year instead    of    FY,    the    entire    amount    of recovery  may  be  treated  as   between  2 Govts. In India?","Revenue Receipt","Capital Receipt","Reduction of Expenditure","None","Reduction of Expenditure"
"Homogeneous        schemes        under        a programme especially those involving small outlays,  should  be  grouped  into  suitable
Heads?","Major","Minor","Detailed","None","None"
"Where  a  payment made  to  the  Court is  in the  nature  of  a  security  for  staying  the execution  of  the  decree,  the  same  would be treated as","Advance","Deposit","final Expenditure","None","Deposit"
"Orders of the in Main office will be taken  before  an  item  is  classified  to  the Suspense Head by sections of Main Office?","SAO/AO","Group Officer","Addl. CDA/Jt. CDA","PCDA/CDA","Addl. CDA/Jt. CDA"
"Any  bank  which  is  appointed  to  transact business  of  the  Government  pertaining  to that  Ministry  or  Department  is  known  as
?","Focal Point Bank","Associated Bank","Accredited Bank","Scheduled Bank","Accredited Bank"
"Seven  digits  in  the  CHB  and  Pamphlet  of RDR heads represent heads?","Major & Minor","Minor & Sub","Sub & Detailed","Detailed & Object","Detailed & Object"
"Expand  WMA  (A  mechanism  used  by  RBI under its Credit Policy)","Ways and Means Advances","Ways and Means Accounting","Ways and Means Audit","All the three","Ways and Means Advances"
"Which   of   the   following   transactions   are operated     through     Defence     Exchange Account?","Loans and Advances","suspense and Remittances","Deposits","All the three","All the three"
"Which  of  the  following  transactions  is  not compiled     through     Class     9     Punching Medium voucher?","Pay and Allowances of MES officers","Medical claims of MES civilians","TA/DA of MES Industrial Employees","None","TA/DA of MES Industrial Employees"
"Which of the following banks is nominated by MOD to function as treasury?","Axis Bank","ICICI Bank","HDFC Bank","None","None"
"  is   responsible   for   adjustment   of departmental  charges  in  respect  of  works executed  by  MES  on  behalf  of  Navy  &  Air force centrally?","PCDA, New Delhi","CDA Army Meerut","CDA (IDS) New Delhi","PCDA (BR) New
Delhi","CDA Army Meerut"
"The  balances  under  RDR  heads  are  closed to ?","Government","Balances","Both","None","Balances"
"The  balances  under  CHB  heads  are  closed to ?","Government","Balances","Both","None","Government"
"Defence    Accounts    Department    is    not responsible  to  classify  the  expenditure  in respect     of     which     of     the     following Departments?","Department of Ex Servicemen Welfare","Armed Forces Tribunal","Coast Guard Organization","None","None"
"In   the   system   of   SBI   CMP   amount   is credited to the beneficiary accounts within T+1 day. What do you mean by ‘T’?","Turnaround Time","day when SBI receives file from Accounts Office","Day when file is uploaded","Transaction day","day when SBI receives file from Accounts Office"
" is  prepared  by  a  PCDA/CDA  office  for each   original   item   compiled   to   Defence Exchange Account?","DIDS","Schedule III","Cheque Slip","All the three","DIDS"
"Unspent balances under Receipt Heads and Expenditure heads are closed to ?","Balances","Government","Both","None","Government"
"The  receipts  and  expenditure  relating  to Border    Roads    Organization    are    finally accounted  to  the heads  of  by PCDA (Border Roads)?","Ministry of Home Affairs","Ministry of Road Transport and Highways","MOD (civil)","Ministry of External Affairs","Ministry of Road Transport and Highways"
"A     head   which   is   placed   under   a particular  Minor  Head  by  the  CGA  should not  be  placed  under  another  Minor  Head by DAD?","Sub Head","Detailed","Both","None","Both"
"In  e-ticketing  system,  Tickets  booked  by units are debited against Account?","Unit","Revolving","Army Head Quarters","CGDA","Revolving"
"The    fist    two    digits    of    DIDS    Number represent?","CDA","Section","Month","Year","CDA"
"The    digits    3    to    6    of    DIDS    Number represent?","CDA","Section","Voucher Number","Month and year","Section"
"Class  of  voucher  is  represented  by  th digit of DIDS Number",4,5,7,11,7
"The   digits   8    to    11    of    DIDS    Number represent?","Section Code","CDA","Month and year","Voucher Number","Voucher Number"
"The digits 12 and 13 of DIDS represent?","Year","CDA","Month","Voucher Number","Month"
"The digits 14 and 15 of DIDS represent?","Year","CDA","Month","Voucher Number","Year"
"Originating      (+)      Receipt      should      be responded      with           in      a      DIDS adjustment?","(+) Receipt","(-) Receipt","(+) Charge","(-) Charge","(+) Charge"
"Originating (-) Receipt should be responded with in a DIDS adjustment?","(+) Receipt","(-) Receipt","(+) Charge","(-) Charge","(-) Charge"
"Originating (+) Charge should be responded with in a DIDS adjustment?","(+) Receipt","(-) Receipt","(+) Charge","(-) Charge","(+) Receipt"
"Originating (-) Charge should be responded with in a DIDS adjustment?","(+) Receipt","(-) Receipt","(+) Charge","(-) Charge","(-) Receipt"
"Annual   Review   of   Balances   is   prepared based  on  the  compilation  of   month’s accounts?","March","March Supplementary","March Supplementary Correction","March supplementary Manual Correction","March Supplementary Correction"
" account  should  bear  all  charges  for intermediate   maintenance   of   the   work while not yet opened for service?","Capital","Revenue","Each 50%","None","Capital"
"Each  branch  of   functions  both  as focal point branch and dealing branch?","SBI","RBI","Both","None","RBI"
"DID   schedule   cannot   be   originated   by compiling  through  which  class  of  voucher of Punching Medium?",1,2,5,8,8
"If exp. in April/May is more than the other months, obligatory in nature exceeds 1/6th of  Budget  head  (Vote  on  account)   can be made?","Provisional Payment","Payment from Suspense Accounts","Payment from Advances Heads","None","Provisional Payment"
"From    2002-03    onwards    the    budgetary requirements  of  Coast  Guard  Organization have  been  transferred  from  the  Grants  of
to ?","Ministry of Finance to MOD (Civil)","MOD (Civil) to Ministry of Finance","MOD (Civil) to Ministry of Home Affairs","None","Ministry of Finance to MOD (Civil)"
"Code  heads  operated  by  sections,  which are not supposed to be operated or which do not pertain to their sections are known as ?","Erroneous heads","Doubtful heads","Fictitious heads","Suspense heads","Fictitious heads"
"Which  of  the  following  transactions  is  not covered   under   the   Focal   Point   Branch scheme?","Defence Cheques","MROs","Pension payments","None","Pension payments"
"Erroneous Compilation made under any of the  Deposit  head  should  be  readjusted  by
?","Deduct Entry {(-) Debit/Credit}","Fresh entry (Debit/Credit)","Any of the two","None","Deduct Entry {(-) Debit/Credit}"
"Loans   to   State   Governments   budgeted under  the  Civil  Estimates  of  MOD  are  also advised through CAS, RBI, Nagpur by 
?","CGDA","AO (DAD) MOD","PCDA R&D New Delhi","CGA","AO (DAD) MOD"
"Powers   of   DCDA   to   sign   Transfer   Entry Punching      Medium      on      account      of rectification    of    errors    is    up    to    Rs.
?","25 lakhs","50 lakhs","1 crore","5 crore","1 crore"
"When   RBI   clears   the   advice   given   by Defence   to   debit/credit   Railways/Postal Department, it sends as intimation?","Settlement Memo","Memo of clearance","Advice clearance certificate","None","Memo of clearance"
"Controllers  will  forward  the  LPCs  of  the DAD   personnel   who   are   proceeding   on deputation  to  foreign  Embassies/Missions abroad to ?","Embassy concerned","Ministry of External Affairs","PCDA New Delhi","CGDA","PCDA New Delhi"
"Expand SCT?","Statement of Central Taxes","Statement of Commercial Transactions","Statement of Commercial Taxes","Statement of Central Transactions","Statement of Central Transactions"
"Which  of  the  following  are  required  to  be paid  from  DSE  (Rent/compensation)  when services of other departments are utilized?","Central Govt. building used by Defence office","Use civil Aerodrome","Damages caused to Railways in accident","None","None"
"Focal  Point  Branch  will  segregate  from  1st April all transactions pertaining to previous years and report the same as  from 1st to 15th April?","March Supplementary","March supplementary Correction","March supplementary Correction (Manual)","March Residual","March Residual"
"Which of the following banks is authorized by RBI to deal with Foreign Transactions?","SBI","Canara Bank","HDFC Bank","All the three","All the three"
"The  Contingency  Fund  of  India  is  held  on behalf    of    the    President    of    India    by
?","Defence Secretary","Secretary, Ministry of Finance (Dept. of Economic Affairs)","Secretary, Ministry of Home Affairs","Secretary, Ministry of Finance (Dept. of Expenditure)","Secretary, Ministry of Finance (Dept. of Economic Affairs)"
"Recoveries   of   expenditure   for    services rendered  to  non-Government  parties  shall in  all  cases  be  classified  as   of  the Government?","Receipts","Reduction of Expenditure","Refund of bonafide receipt","None","Receipts"
"While Adjusting MRO, PAO functions as  section?","Audit","Accounts","Both","None","Audit"
"Which of  the following offices is not given section     code     for     the      purpose     of compilation  of   Defence   services   receipts and expenditure?","PAOs","AOs GE","LAOs/RAOs","None","LAOs/RAOs"
"Which   of   the   following   is   not   covered under   the   category   of   awards   given   by Arbitrator?","Executory","Declaratory","Explanatory","None","Explanatory"
"Public Account of India covers the following sectors of Government Accounts?","Sectors A, B","Sectors A, B and C","Sectors A to F","Sectors I to M","Sectors I to M"
"Cheque     issued     by     a     different     CDA erroneously   shown   in   Debit   Scroll,   but noticed   after   DMS   was   certified.   What action you would suggest?","Take up the matter with RBI","Take up the matter with Focal Point Branch","Pass it on to correct CDA through DEA","All the three","Pass it on to correct CDA through DEA"
"Which  class  of  Punching  Medium  voucher has two parts i.e. part A & Part B?",1,2,5,8,8
"If   any   change   affects   the   form   of   the Finance  and  Revenue  Accounts,  it  will  not be  made  without  the  previous  sanction  of
?","CGA","C&AG","Any one of a & b","Both a & b","Both a & b"
"Accounts  kept  open  after  31st  March  are known as March Accounts?","Supplementary","Residual","II","None","Supplementary"
"Class  1  Punching  Medium  voucher  is  used to compile ?","Cash Vouchers","Transfer Entries","Abstract of Receipts & Charges","Cash Accounts","Cash Vouchers"
"Class  2  Punching  Medium  voucher  is  used to compile ?","Cash Vouchers","Transfer Entries","Abstract of Receipts & Charges","Cash Accounts","Transfer Entries"
"Class  3  Punching  Medium  voucher  is  used to compile ?","DID Schedules","Cash Accounts","Civil ID Schedules","Cash Vouchers","Civil ID Schedules"
"Class  4  Punching  Medium  voucher  is  used to compile ?","Cash Vouchers","Transfer Entries","Abstract of Receipts & Charges","Cash Accounts","Abstract of Receipts & Charges"
"Class  5  Punching  Medium  voucher  is  used to compile ?","Cash Vouchers","Transfer Entries","Abstract of Receipts & Charges","Cash Accounts","Cash Accounts"
"Class  6  Punching  Medium  voucher  is  used to compile ?","Railway Bills","MES Bills","DID Schedules","Cash Accounts","Railway Bills"
"Class  8  Punching  Medium  voucher  is  used to compile ?","Railway Bills","MES Bills","DID Schedules","Cash Accounts","DID Schedules"
"Class  9  Punching  Medium  voucher  is  used to compile ?","Railway Bills","MES Bills","DID Schedules","Cash Accounts","MES Bills"
"For    capital    outlay    provided    otherwise, interest  shall  be  charged  at  the  average rate  of  interest  determined  each  year  by
MOF?","Department of Economic Affairs","Department of Expenditure","Both","None","Department of Economic Affairs"
"An  error  no  matter  how  old  and  small  it may   be,  must  be   corrected   if   it  affects
Head","Debt","Deposit","Remittance","All the three","All the three"
"Expand GePG?","Government electronic payment Guarantee","Government electronic payment Gateway","General electronic payment Gateway","Guaranteed electronic payment Gateway","Government electronic payment Gateway"
"will prepare statement No. 5 &13 of Union Government Finance Account and send the same to the CGA?","CGDA","FADS","Defence Secretary","DGADS","CGDA"
